DATAFLOW,LAST UPDATE,freq,citizen,sex,unit,age,asyl_app,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,AT,2021,39900,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BE,2021,24970,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,BG,2021,11000,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,CH,2021,14850,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,CY,2021,13670,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,CZ,2021,1405,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,DE,2021,190545,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,DK,2021,2080,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,EE,2021,80,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,EL,2021,28355,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,ES,2021,65295,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,EU27_2020,2021,632315,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,FI,2021,2525,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,FR,2021,120685,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,HR,2021,2930,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,HU,2021,40,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,IE,2021,2650,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,IS,2021,870,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,IT,2021,53610,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,LI,2021,95,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,LT,2021,3940,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,LU,2021,1405,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,LV,2021,615,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,ME,2021,270,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,MT,2021,1515,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,NL,2021,26520,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,NO,2021,1635,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,PL,2021,7795,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,PT,2021,1540,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,RO,2021,9585,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,SE,2021,13990,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,SI,2021,5300,
ESTAT:TPS00191(1.0),29/08/22 23:00:00,A,EXT_EU27_2020,T,PER,TOTAL,ASY_APP,SK,2021,370,
