date,views,lang
2022-05-09,12,bg
2022-05-10,11,bg
2022-05-11,17,bg
2022-05-12,12,bg
2022-05-13,15,bg
2022-05-14,16,bg
2022-05-15,12,bg
2022-05-16,19,bg
2022-05-17,12,bg
2022-05-18,21,bg
2022-05-19,13,bg
2022-05-20,18,bg
2022-05-21,17,bg
2022-05-22,6,bg
2022-05-23,13,bg
2022-05-24,16,bg
2022-05-25,14,bg
2022-05-26,26,bg
2022-05-27,14,bg
2022-05-28,12,bg
2022-05-29,13,bg
2022-05-30,12,bg
2022-05-31,9,bg
2022-06-01,13,bg
2022-06-02,23,bg
2022-06-03,8,bg
2022-06-04,15,bg
2022-06-05,7,bg
2022-06-06,24,bg
2022-06-07,15,bg
2022-06-08,10,bg
2022-06-09,16,bg
2022-06-10,12,bg
2022-06-11,21,bg
2022-06-12,8,bg
2022-06-13,23,bg
2022-06-14,17,bg
2022-06-15,14,bg
2022-06-16,15,bg
2022-06-17,27,bg
2022-06-18,12,bg
2022-06-19,21,bg
2022-06-20,20,bg
2022-06-21,13,bg
2022-06-22,7,bg
2022-06-23,15,bg
2022-06-24,4,bg
2022-06-25,10,bg
2022-06-26,8,bg
2022-06-27,11,bg
2022-06-28,12,bg
2022-06-29,9,bg
2022-06-30,14,bg
2022-07-01,10,bg
2022-07-02,5,bg
2022-07-03,20,bg
2022-07-04,10,bg
2022-07-05,28,bg
2022-07-06,36,bg
2022-07-07,9,bg
2022-07-08,17,bg
2022-07-09,5,bg
2022-07-10,9,bg
2022-07-11,6,bg
2022-07-12,12,bg
2022-07-13,14,bg
2022-07-14,6,bg
2022-07-15,8,bg
2022-07-16,11,bg
2022-07-17,8,bg
2022-07-18,10,bg
2022-07-19,8,bg
2022-07-20,4,bg
2022-07-21,14,bg
2022-07-22,17,bg
2022-07-23,10,bg
2022-07-24,4,bg
2022-07-25,18,bg
2022-07-26,8,bg
2022-07-27,20,bg
2022-07-28,9,bg
2022-07-29,7,bg
2022-07-30,9,bg
2022-07-31,10,bg
2022-08-01,18,bg
2022-08-02,13,bg
2022-08-03,13,bg
2022-08-04,15,bg
2022-08-05,10,bg
2022-08-06,4,bg
2022-08-07,13,bg
2022-08-08,14,bg
2022-08-09,17,bg
2022-08-10,17,bg
2022-08-11,16,bg
2022-08-12,14,bg
2022-08-13,16,bg
2022-08-14,12,bg
2022-08-15,6,bg
2022-08-16,7,bg
2022-08-17,11,bg
2022-08-18,12,bg
2022-08-19,10,bg
2022-08-20,6,bg
2022-08-21,6,bg
2022-08-22,8,bg
2022-08-23,6,bg
2022-08-24,17,bg
2022-08-25,13,bg
2022-08-26,10,bg
2022-08-27,9,bg
2022-08-28,9,bg
2022-08-29,10,bg
2022-08-30,12,bg
2022-08-31,10,bg
2022-09-01,12,bg
2022-09-02,8,bg
2022-09-03,7,bg
2022-09-04,13,bg
2022-09-05,14,bg
2022-09-06,8,bg
2022-09-07,27,bg
2022-09-08,14,bg
2022-09-09,17,bg
2022-09-10,15,bg
2022-09-11,7,bg
2022-09-12,19,bg
2022-09-13,4,bg
2022-09-14,10,bg
2022-09-15,15,bg
2022-09-16,11,bg
2022-09-17,7,bg
2022-09-18,10,bg
2022-09-19,19,bg
2022-09-20,16,bg
2022-09-21,20,bg
2022-09-22,15,bg
2022-09-23,17,bg
2022-09-24,6,bg
2022-09-25,24,bg
2022-09-26,25,bg
2022-09-27,20,bg
2022-09-28,11,bg
2022-09-29,15,bg
2022-09-30,11,bg
2022-10-01,8,bg
2022-10-02,7,bg
2022-10-03,14,bg
2022-10-04,25,bg
2022-10-05,17,bg
2022-10-06,12,bg
2022-10-07,20,bg
2022-10-08,9,bg
2022-10-09,13,bg
2022-10-10,17,bg
2022-10-11,21,bg
2022-10-12,16,bg
2022-10-13,21,bg
2022-10-14,11,bg
2022-10-15,12,bg
2022-10-16,11,bg
2022-10-17,22,bg
2022-10-18,15,bg
2022-10-19,16,bg
2022-10-20,17,bg
2022-10-21,10,bg
2022-10-22,6,bg
2022-10-23,16,bg
2022-10-24,12,bg
2022-10-25,11,bg
2022-10-26,12,bg
2022-10-27,16,bg
2022-10-28,12,bg
2022-10-29,10,bg
2022-10-30,13,bg
2022-10-31,16,bg
2022-11-01,14,bg
2022-11-02,12,bg
2022-11-03,16,bg
2022-11-04,8,bg
2022-11-05,7,bg
2022-11-06,6,bg
2022-11-07,18,bg
2022-11-08,12,bg
2022-11-09,19,bg
2022-11-10,16,bg
2022-11-11,14,bg
2022-11-12,13,bg
2022-11-13,6,bg
2022-11-14,20,bg
2022-11-15,12,bg
2022-11-16,15,bg
2022-11-17,16,bg
2022-11-18,17,bg
2022-11-19,9,bg
2022-11-20,7,bg
2022-11-21,15,bg
2022-11-22,26,bg
2022-11-23,15,bg
2022-11-24,11,bg
2022-11-25,20,bg
2022-11-26,10,bg
2022-11-27,13,bg
2022-11-28,29,bg
2022-11-29,23,bg
2022-11-30,24,bg
2022-12-01,37,bg
2022-12-02,25,bg
2022-12-03,7,bg
2022-12-04,9,bg
2022-12-05,20,bg
2022-12-06,16,bg
2022-12-07,14,bg
2022-12-08,7,bg
2022-12-09,12,bg
2022-12-10,7,bg
2022-12-11,16,bg
2022-12-12,14,bg
2022-12-13,38,bg
2022-12-14,17,bg
2022-12-15,9,bg
2022-12-16,16,bg
2022-12-17,13,bg
2022-12-18,10,bg
2022-12-19,20,bg
2022-12-20,22,bg
2022-12-21,17,bg
2022-12-22,14,bg
2022-12-23,13,bg
2022-12-24,10,bg
2022-12-25,14,bg
2022-12-26,13,bg
2022-12-27,11,bg
2022-12-28,14,bg
2022-12-29,11,bg
2022-12-30,24,bg
2022-12-31,6,bg
2023-01-01,4,bg
2023-01-02,20,bg
2023-01-03,17,bg
2023-01-04,20,bg
2023-01-05,24,bg
2023-01-06,21,bg
2023-01-07,11,bg
2023-01-08,10,bg
2023-01-09,26,bg
2023-01-10,28,bg
2023-01-11,24,bg
2023-01-12,53,bg
2023-01-13,20,bg
2023-01-14,15,bg
2023-01-15,22,bg
2023-01-16,11,bg
2023-01-17,36,bg
2023-01-18,29,bg
2023-01-19,24,bg
2023-01-20,20,bg
2023-01-21,21,bg
2023-01-22,12,bg
2023-01-23,19,bg
2023-01-24,22,bg
2023-01-25,27,bg
2023-01-26,21,bg
2023-01-27,23,bg
2023-01-28,12,bg
2023-01-29,13,bg
2023-01-30,20,bg
2023-01-31,20,bg
2023-02-01,31,bg
2023-02-02,14,bg
2023-02-03,21,bg
2023-02-04,15,bg
2023-02-05,19,bg
2023-02-06,14,bg
2023-02-07,27,bg
2023-02-08,18,bg
2023-02-09,13,bg
2023-02-10,13,bg
2023-02-11,18,bg
2023-02-12,17,bg
2023-02-13,23,bg
2023-02-14,21,bg
2023-02-15,14,bg
2023-02-16,30,bg
2023-02-17,22,bg
2023-02-18,18,bg
2023-02-19,9,bg
2023-02-20,22,bg
2023-02-21,13,bg
2023-02-22,15,bg
2023-02-23,21,bg
2023-02-24,13,bg
2023-02-25,8,bg
2023-02-26,10,bg
2023-02-27,19,bg
2023-02-28,18,bg
2023-03-01,12,bg
2023-03-02,11,bg
2023-03-03,6,bg
2023-03-04,11,bg
2023-03-05,8,bg
2023-03-06,29,bg
2023-03-07,16,bg
2023-03-08,25,bg
2023-03-09,17,bg
2023-03-10,19,bg
2023-03-11,21,bg
2023-03-12,11,bg
2023-03-13,17,bg
2023-03-14,8,bg
2023-03-15,13,bg
2023-03-16,8,bg
2023-03-17,14,bg
2023-03-18,13,bg
2023-03-19,10,bg
2023-03-20,14,bg
2023-03-21,14,bg
2023-03-22,15,bg
2023-03-23,21,bg
2023-03-24,24,bg
2023-03-25,13,bg
2023-03-26,15,bg
2023-03-27,17,bg
2023-03-28,25,bg
2023-03-29,22,bg
2023-03-30,16,bg
2023-03-31,25,bg
2023-04-01,7,bg
2023-04-02,7,bg
2023-04-03,23,bg
2023-04-04,34,bg
2023-04-05,17,bg
2023-04-06,12,bg
2023-04-07,13,bg
2023-04-08,6,bg
2023-04-09,13,bg
2023-04-10,15,bg
2023-04-11,12,bg
2023-04-12,18,bg
2023-04-13,5,bg
2023-04-14,11,bg
2023-04-15,9,bg
2023-04-16,7,bg
2023-04-17,6,bg
2023-04-18,23,bg
2023-04-19,45,bg
2023-04-20,26,bg
2023-04-21,13,bg
2023-04-22,14,bg
2023-04-23,11,bg
2023-04-24,20,bg
2023-04-25,13,bg
2023-04-26,14,bg
2023-04-27,14,bg
2023-04-28,9,bg
2023-04-29,5,bg
2023-04-30,7,bg
2023-05-01,10,bg
2023-05-02,13,bg
2023-05-03,12,bg
2023-05-04,11,bg
2023-05-05,12,bg
2023-05-06,9,bg
2023-05-07,10,bg
2023-05-08,11,bg
2023-05-09,12,bg
2023-05-10,10,bg
2023-05-11,16,bg
2023-05-12,20,bg
2023-05-13,24,bg
2023-05-14,14,bg
2023-05-15,14,bg
2023-05-16,27,bg
2023-05-17,13,bg
2023-05-18,17,bg
2023-05-19,14,bg
2023-05-20,11,bg
2023-05-21,7,bg
2023-05-22,12,bg
2023-05-23,5,bg
2023-05-24,12,bg
2023-05-25,11,bg
2023-05-26,13,bg
2023-05-27,8,bg
2023-05-28,15,bg
2023-05-29,13,bg
2023-05-30,9,bg
2023-05-31,8,bg
2023-06-01,12,bg
2023-06-02,19,bg
2023-06-03,19,bg
2023-06-04,10,bg
2023-06-05,15,bg
2023-06-06,9,bg
2023-06-07,17,bg
2023-06-08,2,bg
2023-06-09,12,bg
2023-06-10,6,bg
2023-06-11,12,bg
2023-06-12,5,bg
2023-06-13,14,bg
2023-06-14,17,bg
2023-06-15,9,bg
2023-06-16,12,bg
2023-06-17,14,bg
2023-06-18,15,bg
2023-06-19,8,bg
2023-06-20,7,bg
2023-06-21,14,bg
2023-06-22,14,bg
2023-06-23,12,bg
2023-06-24,7,bg
2023-06-25,8,bg
2023-06-26,19,bg
2023-06-27,19,bg
2023-06-28,10,bg
2023-06-29,12,bg
2023-06-30,10,bg
2023-07-01,8,bg
2023-07-02,6,bg
2023-07-03,11,bg
2023-07-04,10,bg
2023-07-05,13,bg
2023-07-06,7,bg
2023-07-07,13,bg
2023-07-08,7,bg
2023-07-09,16,bg
2023-07-10,15,bg
2023-07-11,8,bg
2023-07-12,10,bg
2023-07-13,9,bg
2023-07-14,12,bg
2023-07-15,15,bg
2023-07-16,10,bg
2023-07-17,8,bg
2023-07-18,23,bg
2023-07-19,13,bg
2023-07-20,12,bg
2023-07-21,15,bg
2023-07-22,13,bg
2023-07-23,6,bg
2023-07-24,12,bg
2023-07-25,10,bg
2023-07-26,9,bg
2023-07-27,9,bg
2023-07-28,3,bg
2023-07-29,12,bg
2023-07-30,17,bg
2023-07-31,19,bg
2023-08-01,14,bg
2023-08-02,6,bg
2023-08-03,21,bg
2023-08-04,9,bg
2023-08-05,3,bg
2023-08-06,12,bg
2023-08-07,9,bg
2023-08-08,14,bg
2023-08-09,12,bg
2023-08-10,12,bg
2023-08-11,21,bg
2023-08-12,10,bg
2023-08-13,9,bg
2023-08-14,10,bg
2023-08-15,6,bg
2023-08-16,9,bg
2023-08-17,14,bg
2023-08-18,11,bg
2023-08-19,8,bg
2023-08-20,12,bg
2023-08-21,19,bg
2023-08-22,15,bg
2023-08-23,12,bg
2023-08-24,7,bg
2023-08-25,10,bg
2023-08-26,8,bg
2023-08-27,10,bg
2023-08-28,9,bg
2023-08-29,9,bg
2023-08-30,8,bg
2023-08-31,2,bg
2023-09-01,14,bg
2023-09-02,5,bg
2023-09-03,13,bg
2023-09-04,3,bg
2023-09-05,2,bg
2023-09-06,11,bg
2023-09-07,12,bg
2023-09-08,12,bg
2023-09-09,14,bg
2023-09-10,15,bg
2023-09-11,21,bg
2023-09-12,6,bg
2023-09-13,7,bg
2023-09-14,5,bg
2023-09-15,7,bg
2023-09-16,9,bg
2023-09-17,10,bg
2023-09-18,21,bg
2023-09-19,15,bg
2023-09-20,10,bg
2023-09-21,46,bg
2023-09-22,46,bg
2023-09-23,24,bg
2023-09-24,22,bg
2023-09-25,43,bg
2023-09-26,12,bg
2023-09-27,33,bg
2023-09-28,50,bg
2023-09-29,68,bg
2023-09-30,36,bg
2023-10-01,17,bg
2023-10-02,11,bg
2023-10-03,8,bg
2023-10-04,14,bg
2023-10-05,16,bg
2023-10-06,18,bg
2023-10-07,9,bg
2023-10-08,15,bg
2023-10-09,53,bg
2023-10-10,22,bg
2023-10-11,18,bg
2023-10-12,15,bg
2023-10-13,21,bg
2023-10-14,9,bg
2023-10-15,13,bg
2023-10-16,25,bg
2023-10-17,19,bg
2023-10-18,14,bg
2023-10-19,25,bg
2023-10-20,8,bg
2023-10-21,32,bg
2023-10-22,22,bg
2023-10-23,40,bg
2023-10-24,27,bg
2023-10-25,22,bg
2023-10-26,33,bg
2023-10-27,23,bg
2023-10-28,14,bg
2023-10-29,18,bg
2023-10-30,21,bg
2023-10-31,52,bg
2023-11-01,28,bg
2023-11-02,33,bg
2023-11-03,104,bg
2023-11-04,26,bg
2023-11-05,16,bg
2023-11-06,13,bg
2023-11-07,28,bg
2023-11-08,15,bg
2023-11-09,20,bg
2023-11-10,14,bg
2023-11-11,25,bg
2023-11-12,25,bg
2023-11-13,20,bg
2023-11-14,30,bg
2023-11-15,22,bg
2023-11-16,19,bg
2023-11-17,27,bg
2023-11-18,18,bg
2023-11-19,19,bg
2023-11-20,22,bg
2023-11-21,43,bg
2023-11-22,24,bg
2023-11-23,37,bg
2023-11-24,25,bg
2023-11-25,22,bg
2023-11-26,21,bg
2023-11-27,17,bg
2023-11-28,32,bg
2023-11-29,35,bg
2023-11-30,24,bg
2023-12-01,23,bg
2023-12-02,21,bg
2023-12-03,25,bg
2023-12-04,28,bg
2023-12-05,22,bg
2023-12-06,28,bg
2023-12-07,17,bg
2023-12-08,19,bg
2023-12-09,12,bg
2023-12-10,11,bg
2023-12-11,18,bg
2023-12-12,36,bg
2023-12-13,20,bg
2023-12-14,131,bg
2023-12-15,23,bg
2023-12-16,17,bg
2023-12-17,22,bg
2023-12-18,21,bg
2023-12-19,20,bg
2023-12-20,34,bg
2023-12-21,28,bg
2023-12-22,17,bg
2023-12-23,13,bg
2023-12-24,132,bg
2023-12-25,9,bg
2023-12-26,10,bg
2023-12-27,12,bg
2023-12-28,9,bg
2023-12-29,11,bg
2023-12-30,14,bg
2023-12-31,20,bg
2024-01-01,11,bg
2024-01-02,24,bg
2024-01-03,29,bg
2024-01-04,19,bg
2024-01-05,23,bg
2024-01-06,18,bg
2024-01-07,16,bg
2024-01-08,21,bg
2024-01-09,30,bg
2024-01-10,33,bg
2024-01-11,28,bg
2024-01-12,30,bg
2024-01-13,17,bg
2024-01-14,23,bg
2024-01-15,13,bg
2024-01-16,23,bg
2024-01-17,36,bg
2024-01-18,24,bg
2024-01-19,36,bg
2024-01-20,12,bg
2024-01-21,38,bg
2024-01-22,49,bg
2024-01-23,24,bg
2024-01-24,35,bg
2024-01-25,38,bg
2024-01-26,18,bg
2024-01-27,14,bg
2024-01-28,27,bg
2024-01-29,33,bg
2024-01-30,26,bg
2024-01-31,17,bg
2024-02-01,15,bg
2024-02-02,13,bg
2024-02-03,8,bg
2024-02-04,14,bg
2024-02-05,13,bg
2024-02-06,12,bg
2024-02-07,17,bg
2024-02-08,6,bg
2024-02-09,20,bg
2024-02-10,18,bg
2024-02-11,19,bg
2024-02-12,24,bg
2024-02-13,16,bg
2024-02-14,25,bg
2024-02-15,29,bg
2024-02-16,20,bg
2024-02-17,17,bg
2024-02-18,18,bg
2024-02-19,30,bg
2024-02-20,21,bg
2024-02-21,29,bg
2024-02-22,24,bg
2024-02-23,11,bg
2024-02-24,7,bg
2024-02-25,16,bg
2024-02-26,17,bg
2024-02-27,16,bg
2024-02-28,27,bg
2024-02-29,22,bg
2024-03-01,19,bg
2024-03-02,15,bg
2024-03-03,41,bg
2024-03-04,24,bg
2024-03-05,21,bg
2024-03-06,22,bg
2024-03-07,22,bg
2024-03-08,6,bg
2024-03-09,18,bg
2024-03-10,23,bg
2024-03-11,16,bg
2024-03-12,18,bg
2024-03-13,14,bg
2024-03-14,20,bg
2024-03-15,13,bg
2024-03-16,18,bg
2024-03-17,11,bg
2024-03-18,6,bg
2024-03-19,20,bg
2024-03-20,17,bg
2024-03-21,10,bg
2024-03-22,20,bg
2024-03-23,11,bg
2024-03-24,12,bg
2024-03-25,19,bg
2024-03-26,17,bg
2024-03-27,19,bg
2024-03-28,20,bg
2024-03-29,25,bg
2024-03-30,28,bg
2024-03-31,21,bg
2024-04-01,10,bg
2024-04-02,20,bg
2024-04-03,15,bg
2024-04-04,15,bg
2024-04-05,16,bg
2024-04-06,15,bg
2024-04-07,6,bg
2024-04-08,19,bg
2024-04-09,34,bg
2024-04-10,13,bg
2024-04-11,16,bg
2024-04-12,7,bg
2024-04-13,11,bg
2024-04-14,19,bg
2024-04-15,15,bg
2024-04-16,20,bg
2024-04-17,18,bg
2024-04-18,34,bg
2024-04-19,17,bg
2024-04-20,5,bg
2024-04-21,9,bg
2024-04-22,15,bg
2024-04-23,38,bg
2024-04-24,22,bg
2024-04-25,25,bg
2024-04-26,27,bg
2024-04-27,12,bg
2024-04-28,9,bg
2024-04-29,17,bg
2024-04-30,16,bg
2024-05-01,10,bg
2024-05-02,16,bg
2024-05-03,26,bg
2024-05-04,37,bg
2024-05-05,24,bg
2024-05-06,17,bg
2024-05-07,16,bg
2024-05-08,22,bg
2024-05-09,15,bg
2024-05-10,22,bg
2024-05-11,9,bg
2024-05-12,18,bg
2024-05-13,17,bg
2024-05-14,17,bg
2024-05-15,25,bg
2024-05-16,16,bg
2024-05-17,12,bg
2024-05-18,11,bg
2024-05-19,11,bg
2024-05-20,16,bg
2024-05-21,12,bg
2024-05-22,14,bg
2024-05-23,9,bg
2024-05-24,7,bg
2024-05-25,9,bg
2024-05-26,8,bg
2024-05-27,15,bg
2024-05-28,13,bg
2024-05-29,9,bg
2024-05-30,6,bg
2024-05-31,11,bg
2024-06-01,1,bg
2024-06-02,10,bg
2024-06-03,6,bg
2024-06-04,5,bg
2024-06-05,13,bg
2024-06-06,9,bg
2024-06-07,15,bg
2024-06-08,10,bg
2024-06-09,14,bg
2024-06-10,5,bg
2024-06-11,9,bg
2024-06-12,11,bg
2024-06-13,11,bg
2024-06-14,3,bg
2024-06-15,11,bg
2024-06-16,9,bg
2024-06-17,10,bg
2024-06-18,7,bg
2024-06-19,15,bg
2024-06-20,11,bg
2024-06-21,8,bg
2024-06-22,12,bg
2024-06-23,8,bg
2024-06-24,12,bg
2024-06-25,15,bg
2024-06-26,9,bg
2024-06-27,16,bg
2024-06-28,12,bg
2024-06-29,5,bg
2024-06-30,10,bg
2024-07-01,8,bg
2024-07-02,2,bg
2024-07-03,24,bg
2024-07-04,9,bg
2024-07-05,7,bg
2024-07-06,11,bg
2024-07-07,5,bg
2024-07-08,13,bg
2024-07-09,4,bg
2024-07-10,13,bg
2024-07-11,14,bg
2024-07-12,4,bg
2024-07-13,5,bg
2024-07-14,2,bg
2024-07-15,9,bg
2024-07-16,5,bg
2024-07-17,9,bg
2024-07-18,5,bg
2024-07-19,11,bg
2024-07-20,4,bg
2024-07-21,5,bg
2024-07-22,7,bg
2024-07-23,17,bg
2024-07-24,10,bg
2024-07-25,8,bg
2024-07-26,6,bg
2024-07-27,4,bg
2024-07-28,6,bg
2024-07-29,8,bg
2024-07-30,12,bg
2024-07-31,6,bg
2024-08-01,11,bg
2024-08-02,24,bg
2024-08-03,16,bg
2024-08-04,24,bg
2024-08-05,22,bg
2024-08-06,13,bg
2024-08-07,8,bg
2024-08-08,7,bg
2024-08-09,10,bg
2024-08-10,8,bg
2024-08-11,9,bg
2024-08-12,11,bg
2024-08-13,9,bg
2024-08-14,13,bg
2024-08-15,10,bg
2024-08-16,10,bg
2024-08-17,9,bg
2024-08-18,3,bg
2024-08-19,11,bg
2024-08-20,14,bg
2024-08-21,5,bg
2024-08-22,4,bg
2024-08-23,9,bg
2024-08-24,5,bg
2024-08-25,5,bg
2024-08-26,7,bg
2024-08-27,9,bg
2024-08-28,12,bg
2024-08-29,15,bg
2024-08-30,4,bg
2024-08-31,8,bg
2024-09-01,12,bg
2024-09-02,4,bg
2024-09-03,3,bg
2024-09-04,7,bg
2024-09-05,13,bg
2024-09-06,6,bg
2024-09-07,10,bg
2024-09-08,5,bg
2024-09-09,10,bg
2024-09-10,11,bg
2024-09-11,13,bg
2024-09-12,7,bg
2024-09-13,7,bg
2024-09-14,14,bg
2024-09-15,9,bg
2024-09-16,14,bg
2024-09-17,12,bg
2024-09-18,20,bg
2024-09-19,32,bg
2024-09-20,4,bg
2024-09-21,7,bg
2024-09-22,10,bg
2024-09-23,5,bg
2024-09-24,13,bg
2024-09-25,15,bg
2024-09-26,6,bg
2024-09-27,12,bg
2024-09-28,7,bg
2024-09-29,14,bg
2024-09-30,18,bg
2024-10-01,15,bg
2024-10-02,7,bg
2024-10-03,9,bg
2024-10-04,7,bg
2024-10-05,14,bg
2024-10-06,15,bg
2024-10-07,12,bg
2024-10-08,6,bg
2024-10-09,23,bg
2024-10-10,15,bg
2024-10-11,13,bg
2024-10-12,7,bg
2024-10-13,21,bg
2024-10-14,20,bg
2024-10-15,11,bg
2024-10-16,14,bg
2024-10-17,9,bg
2024-10-18,10,bg
2024-10-19,10,bg
2024-10-20,13,bg
2024-10-21,13,bg
2024-10-22,12,bg
2024-10-23,64,bg
2024-10-24,15,bg
2024-10-25,10,bg
2024-10-26,4,bg
2024-10-27,17,bg
2024-10-28,15,bg
2024-10-29,7,bg
2024-10-30,18,bg
2024-10-31,9,bg
2024-11-01,13,bg
2024-11-02,10,bg
2024-11-03,6,bg
2024-11-04,11,bg
2024-11-05,9,bg
2024-11-06,23,bg
2024-11-07,7,bg
2024-11-08,12,bg
2024-11-09,6,bg
2024-11-10,10,bg
2024-11-11,11,bg
2024-11-12,18,bg
2024-11-13,17,bg
2024-11-14,16,bg
2024-11-15,17,bg
2024-11-16,7,bg
2024-11-17,10,bg
2024-11-18,15,bg
2024-11-19,10,bg
2024-11-20,18,bg
2024-11-21,8,bg
2024-11-22,14,bg
2024-11-23,16,bg
2024-11-24,16,bg
2024-11-25,18,bg
2024-11-26,18,bg
2024-11-27,20,bg
2024-11-28,23,bg
2024-11-29,34,bg
2024-11-30,12,bg
2024-12-01,24,bg
2024-12-02,23,bg
2024-12-03,20,bg
2024-12-04,20,bg
2024-12-05,16,bg
2024-12-06,18,bg
2024-12-07,14,bg
2024-12-08,15,bg
2024-12-09,19,bg
2024-12-10,24,bg
2024-12-11,11,bg
2024-12-12,21,bg
2024-12-13,17,bg
2024-12-14,29,bg
2024-12-15,12,bg
2024-12-16,19,bg
2024-12-17,16,bg
2024-12-18,20,bg
2024-12-19,10,bg
2024-12-20,16,bg
2024-12-21,8,bg
2024-12-22,10,bg
2024-12-23,9,bg
2024-12-24,9,bg
2024-12-25,5,bg
2024-12-26,23,bg
2024-12-27,11,bg
2024-12-28,23,bg
2024-12-29,11,bg
2024-12-30,20,bg
2024-12-31,10,bg
2025-01-01,4,bg
2025-01-02,18,bg
2025-01-03,20,bg
2025-01-04,23,bg
2025-01-05,18,bg
2025-01-06,7,bg
2025-01-07,17,bg
2025-01-08,11,bg
2025-01-09,11,bg
2025-01-10,19,bg
2025-01-11,16,bg
2025-01-12,23,bg
2025-01-13,11,bg
2025-01-14,17,bg
2025-01-15,14,bg
2025-01-16,27,bg
2025-01-17,31,bg
2025-01-18,26,bg
2025-01-19,46,bg
2025-01-20,26,bg
2025-01-21,16,bg
2025-01-22,28,bg
2025-01-23,26,bg
2025-01-24,23,bg
2025-01-25,12,bg
2025-01-26,16,bg
2025-01-27,22,bg
2025-01-28,18,bg
2025-01-29,13,bg
2025-01-30,11,bg
2025-01-31,23,bg
2025-02-01,14,bg
2025-02-02,17,bg
2025-02-03,18,bg
2025-02-04,17,bg
2025-02-05,17,bg
2025-02-06,19,bg
2025-02-07,8,bg
2025-02-08,15,bg
2025-02-09,22,bg
2025-02-10,30,bg
2025-02-11,22,bg
2025-02-12,36,bg
2025-02-13,19,bg
2025-02-14,24,bg
2025-02-15,18,bg
2025-02-16,15,bg
2025-02-17,20,bg
2025-02-18,17,bg
2025-02-19,13,bg
2025-02-20,16,bg
2025-02-21,24,bg
2025-02-22,27,bg
2025-02-23,16,bg
2025-02-24,25,bg
2025-02-25,23,bg
2025-02-26,27,bg
2025-02-27,26,bg
2025-02-28,30,bg
2025-03-01,21,bg
2025-03-02,14,bg
2025-03-03,12,bg
2025-03-04,36,bg
2025-03-05,40,bg
2025-03-06,26,bg
2025-03-07,14,bg
2025-03-08,18,bg
2025-03-09,18,bg
2025-03-10,27,bg
